Jobtitle,Companyname,Locations,Skills
Learning & Development Digitalization Manager,Almarai - المراعي -,"Riyadh, Saudi Arabia ",Entry Level · IT/Software Development · Engineering - Telecom/Technology · Education/Teaching · Education · Learning · Training · Information Technology (IT) · Computer Science · Teaching · E-Learning
Organizational Development Lead,Golf Saudi -,"Riyadh, Saudi Arabia ",Entry Level · Human Resources · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Development · Software Engineering · javaScript · Computer Engineering · Engineering
Data Analyst,HALA -,"Riyadh, Saudi Arabia ",Entry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Analysis · Computer Science · Information Technology (IT) · SQL · Microsoft Office · Microsoft Excel
Data Analyst,talabat -,"Kuwait City, Kuwait ",Entry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Analysis · Computer Science · Information Technology (IT) · SQL · Microsoft Office · Microsoft Excel
Coders - AI Training [Remote],Braintrust -,"Riyadh, Saudi Arabia ",Entry Level · Administration · IT/Software Development · Engineering - Telecom/Technology · information technology (it) · computer science · javascript · engineering · html · coding · php
Process Engineer,SABIC -,"Riyadh, Saudi Arabia ",Experienced · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Engineering · Computer Science · Information Technology (IT) · Mechanical Engineering · Production · Software Engineering · Software Development
Advanced Offensive Cyber Operations Instructor,"Silotech Group, Inc -","Dubai, United Arab Emirates ",Entry Level · IT/Software Development · Engineering - Telecom/Technology · Training/Instructor · computer science · information technology (it) · computer engineering · electrical engineering · linux · python · cyber security
Linux Admin-Riyadh,eTeam -,"Dubai, United Arab Emirates ",Experienced · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Linux · Computer Science · MySQL · System Administration · CentOS · PHP
Remote Virtual Data Input Clerk: Remote Work,Theaterbrigade -,"Dubai, United Arab Emirates ",Not specified · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · computer science · information technology (it) · computer engineering · python · software · microsoft office · management
AI Engineer - Saudi Arabia,Yeah! Global -,"Riyadh, Saudi Arabia ",Entry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · AI · Information Technology (IT) · Computer Science · Engineering · Python · Software Engineering · NLP
AI Engineer - UAE,Yeah! Global -,"Dubai, United Arab Emirates ",Entry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · AI · Information Technology (IT) · Computer Science · Engineering · Python · Software Engineering · NLP
Data Analyst,Colleges of Excellence -,"Riyadh, Saudi Arabia ",Experienced · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Analysis · Computer Science · Information Technology (IT) · SQL · Microsoft Office · Microsoft Excel
Blockchain Developer - Saudi Arabia,Yeah! Global -,"Riyadh, Saudi Arabia ",Entry Level · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Software Development · Blockchain · Computer Science · Software Engineering · Engineering · ASP.NET
Senior Data Scientist - 1 year FTC - Saudi Arabia relocation,Fathom.io -,"Riyadh, Saudi Arabia ",Experienced · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · SQL · Python · Engineering · Data Analysis · Software Development
Data Analyst,Sisco Jobs -,"Dubai, United Arab Emirates ",Entry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Analysis · Computer Science · Information Technology (IT) · SQL · Microsoft Office · Microsoft Excel
Sales Graduate,HP -,"Dubai, United Arab Emirates ",Not specified · IT/Software Development · Sales/Retail · Engineering - Telecom/Technology · Sales · Sales Skills · Sales Target · Information Technology (IT) · Customer Support · Outdoor Sales · Telecommunication
Data Scientist,Presight -,"Dubai, United Arab Emirates ",Entry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Python · Computer Science · Information Technology (IT) · SQL · Data Science · Data Scientist · Machine Learning
Data Analyst,Noon - The Social Learning Platform -,"Riyadh, Saudi Arabia ",Entry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Analysis · Computer Science · Information Technology (IT) · SQL · Microsoft Office · Microsoft Excel
Process Engineer,Procter & Gamble -,"Makkah, Saudi Arabia ",Not specified · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Engineering · Computer Science · Information Technology (IT) · Mechanical Engineering · Production · Software Engineering · Software Development
Data Analyst (0 Experience Required),Peroptyx -,"Riyadh, Saudi Arabia ",Entry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Analysis · Computer Science · Information Technology (IT) · SQL · Microsoft Office · Microsoft Excel
"Engineer, Process",SABIC -,"Riyadh, Saudi Arabia ",Experienced · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Engineering · Computer Science · Information Technology (IT) · Mechanical Engineering · Production · Software Engineering · Software Development
Frappe developer,Dynamic Technology -,"Nasr City, Cairo, Egypt ",Experienced · 1 - 5 Yrs of Exp · IT/Software Development · Information Technology (IT) · Software Development · Finance
